# Global_Ring Global_Wedge Theta_Mean Theta_Sigma Phi_Mean Phi_Sigma
96 32 164.347 0.952537 348.121 2.23052
96 33 164.575 0.938505 180.003 103.921
96 34 164.743 0.921619 4.81118 2.43109
96 35 164.836 0.89754 13.5746 2.47808
96 36 164.839 0.896279 22.4264 2.47731
96 37 164.742 0.918657 31.1892 2.43156
96 38 164.567 0.937865 39.7139 2.34471
96 39 164.344 0.945694 47.8806 2.22906
97 32 161.073 0.996234 348.12 2.23042
97 33 161.319 0.978736 180 103.922
97 34 161.495 0.966882 4.81095 2.43087
97 35 161.595 0.938527 13.5743 2.47768
97 36 161.591 0.940438 22.4247 2.47821
97 37 161.493 0.966555 31.1885 2.43156
97 38 161.318 0.984103 39.7124 2.34407
97 39 161.086 0.98631 47.8792 2.23048
98 32 157.695 1.01948 348.121 2.23055
98 33 157.919 1.0182 180 103.923
98 34 158.099 1.0041 4.81187 2.43098
98 35 158.186 0.982177 13.5755 2.47864
98 36 158.191 0.982661 22.4232 2.47832
98 37 158.096 1.00241 31.1881 2.43101
98 38 157.926 1.0164 39.7148 2.34315
98 39 157.698 1.01906 47.8787 2.23009
99 32 154.222 1.03761 348.12 2.23044
99 33 154.409 1.03669 179.999 103.923
99 34 154.569 1.03503 4.81045 2.43123
99 35 154.657 1.01743 13.5758 2.47891
99 36 154.659 1.01623 22.4241 2.47815
99 37 154.567 1.03512 31.1889 2.43141
99 38 154.416 1.04419 39.7135 2.34407
99 39 154.225 1.03775 47.8797 2.23034
100 32 150.664 1.04174 348.121 2.23069
100 33 150.81 1.05813 179.999 103.922
100 34 150.935 1.05626 4.81135 2.43159
100 35 151.01 1.0439 13.5749 2.4782
100 36 151.007 1.04512 22.4245 2.47827
100 37 150.937 1.05752 31.1886 2.43148
100 38 150.822 1.05301 39.7151 2.34406
100 39 150.667 1.04228 47.8784 2.22997
101 32 147.054 1.03155 348.121 2.23046
101 33 147.136 1.05945 180 103.923
101 34 147.224 1.06829 4.81137 2.43147
101 35 147.268 1.06361 13.5753 2.47893
101 36 147.267 1.06438 22.4247 2.47894
101 37 147.219 1.06774 31.1889 2.43163
101 38 147.141 1.05841 39.7139 2.34467
101 39 147.057 1.0334 47.8799 2.22964
102 32 143.391 1.0283 348.121 2.23011
102 33 143.418 1.05306 180 103.923
102 34 143.447 1.06833 4.81102 2.43164
102 35 143.466 1.07318 13.5755 2.47906
102 36 143.464 1.07291 22.4254 2.47853
102 37 143.448 1.06769 31.189 2.43139
102 38 143.416 1.05221 39.7137 2.34478
102 39 143.397 1.03044 47.8797 2.23026
103 32 139.745 1.04447 348.121 2.23002
103 33 139.658 1.0554 180.001 103.923
103 34 139.633 1.0676 4.81094 2.43172
103 35 139.628 1.0754 13.5759 2.47871
103 36 139.629 1.07538 22.4244 2.47903
103 37 139.631 1.06849 31.1891 2.43169
103 38 139.66 1.05511 39.7142 2.34413
103 39 139.744 1.04388 47.8792 2.23051
104 32 136.142 1.06476 348.121 2.23054
104 33 135.951 1.06923 180 103.922
104 34 135.841 1.07475 4.81108 2.43144
104 35 135.798 1.07233 13.5755 2.47904
104 36 135.797 1.07219 22.424 2.47863
104 37 135.84 1.07527 31.1898 2.43108
