ringch	wedgech	theta	phi
80	16	164.36	204.07
80	17	164.6	212.24
80	18	164.77	220.78
80	19	164.86	229.57
80	20	164.86	238.43
80	21	164.77	247.22
80	22	164.6	255.76
80	23	164.36	263.93
81	16	161.09	204.07
81	17	161.33	212.24
81	18	161.52	220.78
81	19	161.62	229.57
81	20	161.62	238.43
81	21	161.52	247.22
81	22	161.33	255.76
81	23	161.09	263.93
82	16	157.71	204.07
82	17	157.94	212.24
82	18	158.12	220.78
82	19	158.22	229.57
82	20	158.22	238.43
82	21	158.12	247.22
82	22	157.94	255.76
82	23	157.71	263.93
83	16	154.22	204.07
83	17	154.42	212.24
83	18	154.59	220.78
83	19	154.68	229.57
83	20	154.68	238.43
83	21	154.59	247.22
83	22	154.42	255.76
83	23	154.22	263.93
84	16	150.66	204.07
84	17	150.81	212.24
84	18	150.95	220.78
84	19	151.02	229.57
84	20	151.02	238.43
84	21	150.95	247.22
84	22	150.81	255.76
84	23	150.66	263.93
85	16	147.04	204.07
85	17	147.13	212.24
85	18	147.22	220.78
85	19	147.28	229.57
85	20	147.28	238.43
85	21	147.22	247.22
85	22	147.13	255.76
85	23	147.04	263.93
86	16	143.4	204.07
86	17	143.41	212.24
86	18	143.44	220.78
86	19	143.47	229.57
86	20	143.47	238.43
86	21	143.44	247.22
86	22	143.41	255.76
86	23	143.4	263.93
87	16	139.76	204.07
87	17	139.67	212.24
87	18	139.64	220.78
87	19	139.63	229.57
87	20	139.63	238.43
87	21	139.64	247.22
87	22	139.67	255.76
87	23	139.76	263.93
88	16	136.15	204.07
88	17	135.95	212.24
88	18	135.84	220.78
88	19	135.79	229.57
88	20	135.79	238.43
88	21	135.84	247.22
88	22	135.95	255.76
88	23	136.15	263.93
89	16	132.61	204.07
89	17	132.29	212.24
89	18	132.09	220.78
89	19	131.99	229.57
89	20	131.99	238.43
89	21	132.09	247.22
89	22	132.29	255.76
89	23	132.61	263.93
90	16	129.15	204.07
90	17	128.7	212.24
90	18	128.41	220.78
90	19	128.27	229.57
90	20	128.27	238.43
90	21	128.41	247.22
90	22	128.7	255.76
90	23	129.15	263.93
91	16	125.8	204.07
91	17	125.22	212.24
91	18	124.83	220.78
91	19	124.64	229.57
91	20	124.64	238.43
91	21	124.83	247.22
91	22	125.22	255.76
91	23	125.8	263.93
92	16	122.58	204.07
92	17	121.86	212.24
92	18	121.38	220.78
92	19	121.13	229.57
92	20	121.13	238.43
92	21	121.38	247.22
92	22	121.86	255.76
92	23	122.58	263.93
93	16	119.49	204.07
93	17	118.64	212.24
93	18	118.06	220.78
93	19	117.77	229.57
93	20	117.77	238.43
93	21	118.06	247.22
93	22	118.64	255.76
93	23	119.49	263.93
94	16	116.54	204.07
94	17	115.57	212.24
94	18	114.9	220.78
94	19	114.56	229.57
94	20	114.56	238.43
94	21	114.9	247.22
94	22	115.57	255.76
94	23	116.54	263.93
95	16	113.75	204.07
95	17	112.66	212.24
95	18	111.9	220.78
95	19	111.51	229.57
95	20	111.51	238.43
95	21	111.9	247.22
95	22	112.66	255.76
95	23	113.75	263.93
