ExE(keV)	bu1	bu2	both
4000.0	10.198	9.372	5.08
4005.0	10.251	9.315	4.958
4010.0	10.203	9.508	5.127
4014.9999999999995	10.267	9.506	4.977
4019.9999999999995	10.251	9.616	5.002
4025.0000000000005	10.291	9.768	5.025
4030.0000000000005	10.377	9.458	4.966
4035.0	10.282	9.788	4.835
4040.0	10.306	9.675	5.044
4045.0	10.337	9.462	4.962
4050.0	10.343	9.517	4.977
4054.9999999999995	10.438	9.591	4.886
4059.9999999999995	10.438	9.768	4.884
4065.0000000000005	10.474	9.572	4.904
4070.0000000000005	10.362	9.61	4.793
4075.0	10.423	9.602	4.946
4080.0	10.543	9.638	4.929
4085.0	10.387	9.709	4.778
4090.0	10.364	9.723	4.727
4094.9999999999995	10.488	9.647	4.772
4100.0	10.426	9.726	4.702
4105.0	10.474	9.628	4.705
4110.0	10.287	9.581	4.764
4115.0	10.355	9.765	4.674
4120.0	10.437	9.968	4.871
4125.0	10.594	9.717	4.792
4130.0	10.359	9.616	4.709
4135.0	10.34	9.69	4.784
4140.0	10.414	9.676	4.871
4145.0	10.528	9.636	4.71
4150.0	10.334	9.728	4.629
4155.0	10.394	9.85	4.725
4160.0	10.553	9.886	4.607
4165.0	10.503	9.769	4.718
4170.0	10.41	10.121	4.608
4175.0	10.492	9.957	4.787
4180.0	10.331	10.006	4.58
4185.0	10.509	9.921	4.576
4190.0	10.644	9.904	4.553
4195.0	10.456	9.8	4.527
4200.0	10.683	9.904	4.507
4205.0	10.415	9.973	4.67
4210.0	10.505	9.966	4.563
4215.0	10.482	10.065	4.524
4220.0	10.366	10.041	4.621
4225.0	10.597	10.095	4.466
4230.0	10.697	9.879	4.488
4235.0	10.705	9.782	4.512
4240.0	10.549	10.214	4.509
4245.0	10.65	10.127	4.468
4250.0	10.543	10.116	4.509
4255.0	10.664	9.981	4.615
4260.0	10.566	9.929	4.504
4265.0	10.411	10.081	4.438
4270.0	10.74	10.022	4.381
4275.0	10.665	10.068	4.238
4280.0	10.553	10.049	4.443
4285.0	10.581	10.115	4.394
4290.0	10.56	10.063	4.426
4295.0	10.561	10.154	4.387
4300.0	10.714	10.056	4.278
4305.0	10.725	9.989	4.371
4310.0	10.546	10.126	4.276
4315.0	10.696	10.115	4.371
4320.0	10.682	10.242	4.379
4325.0	10.708	10.093	4.346
4330.0	10.543	10.015	4.368
4335.0	10.577	10.188	4.308
4340.0	10.694	10.111	4.309
4345.0	10.606	10.193	4.341
4350.0	10.622	10.24	4.367
4355.0	10.66	10.118	4.268
4360.0	10.702	10.117	4.112
4365.0	10.616	10.157	4.242
4370.0	10.564	10.235	4.097
4375.0	10.604	10.169	4.275
4380.0	10.616	10.227	4.225
4385.0	10.747	10.37	4.225
4390.0	10.626	10.282	4.284
4395.0	10.78	10.086	4.219
4400.0	10.764	10.139	4.185
4405.0	10.649	10.289	4.254
4410.0	10.598	10.334	4.073
4415.0	10.858	10.393	4.076
4420.0	10.712	10.307	4.117
4425.0	10.636	10.224	4.233
4430.0	10.705	10.351	4.151
4435.0	10.644	10.42	4.179
4440.0	10.888	10.491	4.117
4445.0	10.763	10.489	4.034
4450.0	10.931	10.379	4.046
4455.0	10.837	10.251	4.09
4460.0	10.792	10.271	3.968
4465.0	10.815	10.263	4.04
4470.0	10.708	10.387	3.977
4475.0	10.869	10.436	4.035
4480.0	10.87	10.323	4.023
4485.0	10.59	10.481	3.931
4490.0	10.719	10.517	4.065
4495.0	10.737	10.371	3.921
4500.0	10.713	10.492	4.067
