ExE(keV)	bu1	bu2	bu3	bu1bu2	bu2bu3	bu1bu3	all
1690.0	9.311	2.655	7.778	16.028	8.299	36.576	17.224
1695.0	9.41	2.739	7.886	16.107	8.307	36.228	17.211
1700.0	9.396	2.809	7.83	15.918	8.358	36.417	17.197
1705.0	9.465	2.742	7.795	16.104	8.284	36.312	17.131
1710.0	9.397	2.76	8.076	16.13	8.177	36.282	16.987
1715.0	9.574	2.796	7.911	16.04	8.356	36.2	16.896
1720.0	9.688	2.81	7.836	16.03	8.299	36.236	16.943
1725.0	9.492	2.78	7.973	16.051	8.277	36.342	16.886
1730.0	9.67	2.832	8.094	15.953	8.176	36.257	16.839
1735.0	9.545	2.758	8.086	16.013	8.481	36.251	16.627
1740.0	9.472	2.827	7.963	16.377	8.466	36.026	16.67
1745.0	9.44	2.818	8.065	16.225	8.34	36.213	16.645
1750.0	9.657	2.838	8.058	16.267	8.573	35.897	16.479
1755.0	9.612	2.798	8.124	16.084	8.406	36.24	16.485
1760.0	9.696	2.762	8.043	16.547	8.403	35.961	16.396
1765.0	9.669	2.765	8.212	16.306	8.382	36.072	16.304
1770.0	9.74	2.94	8.043	16.344	8.449	36.055	16.192
1775.0	9.733	2.812	8.11	16.369	8.597	35.708	16.384
1780.0	9.72	2.827	8.075	16.109	8.428	36.101	16.403
1785.0	9.846	2.896	8.279	16.224	8.478	35.926	16.106
1790.0	9.581	2.856	8.291	16.367	8.525	36.033	16.097
1795.0	9.695	2.886	8.344	16.331	8.468	36.005	15.945
1800.0	9.691	2.818	8.165	16.288	8.599	35.877	16.191
1805.0	9.677	2.782	8.413	16.379	8.608	36.037	15.857
1810.0	9.648	2.858	8.261	16.59	8.567	35.865	15.83
1815.0	9.837	2.883	8.425	16.533	8.717	35.568	15.7
1820.0	9.749	2.862	8.467	16.552	8.558	35.808	15.639
1825.0	9.703	2.872	8.333	16.61	8.671	35.727	15.631
1830.0	9.712	2.866	8.418	16.582	8.629	35.941	15.453
1835.0	9.832	2.827	8.458	16.664	8.683	35.906	15.358
1840.0	9.845	2.874	8.56	16.477	8.666	35.85	15.393
1845.0	9.87	2.906	8.62	16.479	8.597	35.79	15.405
1850.0	9.84	2.829	8.447	16.46	8.787	35.812	15.406
1855.0	9.871	2.941	8.452	16.689	8.838	35.538	15.275
1860.0	9.867	2.885	8.528	16.791	8.906	35.461	15.15
1865.0	10.053	2.871	8.727	16.645	8.771	35.286	15.234
1870.0	9.875	2.944	8.655	16.941	8.78	35.203	15.203
1875.0	9.957	3.016	8.686	16.795	8.926	35.053	15.091
1880.0	10.012	2.903	8.859	16.938	8.711	35.144	15.006
1885.0	9.939	2.963	8.667	17.051	8.743	35.343	14.774
1890.0	9.93	2.962	8.838	16.789	8.94	35.251	14.765
1895.0	10.073	2.918	8.819	16.636	8.966	35.495	14.686
1900.0	10.015	2.959	8.96	16.669	9.024	35.214	14.686
1905.0	9.826	2.988	8.883	16.886	8.958	35.335	14.568
1910.0	9.811	2.915	9.06	16.852	9.004	35.343	14.476
1915.0	10.064	2.925	8.931	16.899	8.984	35.084	14.565
1920.0	10.051	3.057	8.857	17.085	8.918	35.012	14.42
1925.0	10.075	2.982	9.024	16.697	9.044	35.081	14.483
1930.0	10.062	3.0	9.076	16.987	8.997	35.01	14.355
1935.0	10.206	3.007	9.204	17.14	8.816	34.995	14.102
1940.0	10.108	2.984	9.077	16.959	9.274	35.067	13.977
1945.0	10.111	3.076	9.064	17.19	9.207	34.808	14.028
1950.0	10.164	3.046	9.212	17.041	9.158	34.924	13.845
1955.0	10.083	3.132	9.021	17.19	9.198	34.831	13.903
1960.0	10.128	2.995	9.254	16.885	9.344	34.9	13.964
1965.0	10.285	2.902	9.27	16.914	9.311	34.926	13.821
1970.0	10.067	2.865	9.419	17.127	9.368	34.652	13.849
1975.0	10.12	3.023	9.339	17.184	9.455	34.583	13.71
1980.0	10.143	3.133	9.322	17.028	9.308	34.709	13.708
1985.0	10.128	3.064	9.296	17.18	9.416	34.792	13.585
1990.0	10.126	3.037	9.494	17.146	9.408	34.736	13.405
1995.0	10.159	3.163	9.478	17.154	9.336	34.567	13.514
2000.0	10.135	3.068	9.538	17.216	9.375	34.633	13.396
2005.0	10.266	3.12	9.589	17.274	9.659	34.363	13.098
2009.9999999999998	10.198	3.054	9.514	16.876	9.57	34.666	13.404
2015.0000000000002	10.301	3.12	9.717	17.291	9.521	34.289	13.062
2020.0	10.248	3.187	9.561	17.175	9.644	34.136	13.249
2025.0	10.232	3.187	9.632	17.382	9.727	34.089	13.045
2029.9999999999998	10.343	3.165	9.638	17.106	9.653	34.287	13.092
2035.0000000000002	10.323	3.022	9.781	17.31	9.613	34.206	12.974
2040.0	10.33	3.218	9.788	17.138	9.781	34.186	12.835
2045.0	10.369	3.249	9.912	17.131	9.591	34.127	12.779
2050.0	10.318	3.111	9.931	17.141	9.915	33.92	12.887
2055.0	10.46	3.215	9.798	17.146	9.731	34.276	12.638
2060.0	10.462	3.107	9.87	17.393	9.742	33.77	12.837
2065.0	10.328	3.203	10.01	17.424	9.598	33.795	12.788
2070.0	10.162	3.256	9.949	17.394	9.815	33.863	12.697
2075.0	10.484	3.12	10.15	17.192	9.891	33.802	12.615
2080.0	10.306	3.236	10.071	17.393	9.872	33.68	12.625
2085.0	10.46	3.159	10.155	17.2	9.998	33.834	12.373
2090.0	10.628	3.2	10.101	17.184	9.932	33.455	12.542
2095.0	10.365	3.269	10.226	17.619	10.016	33.234	12.384
2100.0	10.412	3.243	10.293	17.361	10.092	33.595	12.164
2105.0	10.476	3.137	10.35	17.589	10.09	33.468	11.993
2110.0	10.476	3.356	10.412	17.29	10.144	33.208	12.221
2115.0	10.456	3.289	10.381	17.282	10.196	33.381	12.039
2120.0	10.432	3.378	10.497	17.166	10.247	33.318	12.041
2125.0	10.532	3.352	10.513	17.451	10.169	33.192	11.875
2130.0	10.447	3.285	10.369	17.749	10.164	33.074	11.913
2135.0	10.552	3.255	10.643	17.319	10.045	33.181	11.987
